ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Gender,,Source,
,,,UNICEF Sub-region 1,,,Female,Male,Data source,Time period
AFG,Afghanistan,SA,SA,Least Developed,43,30,55,UIS,2018
ALB,Albania,ECA,EECA,More Developed,98,98,99,UIS,2018
DZA,Algeria,MENA,MENA,Less Developed,81,75,87,UIS,2018
AND,Andorra,ECA,WE,More Developed,,,,,
AGO,Angola,SSA,ESA,Least Developed,,,,,
AIA,Anguilla,LAC,LAC,Not Classified,,,,,
ATG,Antigua and Barbuda,LAC,LAC,Less Developed,,,,,
ARG,Argentina,LAC,LAC,Less Developed,99,99,99,UIS,2018
ARM,Armenia,ECA,EECA,Less Developed,,,,,
AUS,Australia,EAP,EAP,More Developed,,,,,
AUT,Austria,ECA,WE,More Developed,,,,,
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,
BHS,Bahamas,LAC,LAC,Less Developed,,,,,
BHR,Bahrain,MENA,MENA,Less Developed,97,95,99,UIS,2018
BGD,Bangladesh,SA,SA,Least Developed,75,72,77,UIS,2019
BRB,Barbados,LAC,LAC,Less Developed,,,,,
BLR,Belarus,ECA,EECA,More Developed,100,100,100,UIS,2018
BEL,Belgium,ECA,WE,More Developed,,,,,
BLZ,Belize,LAC,LAC,Less Developed,,,,,
BEN,Benin,SSA,WCA,Least Developed,42,31,54,UIS,2018
BTN,Bhutan,SA,SA,Least Developed,,,,,
BOL,Bolivia (Plurinational State of),LAC,LAC,Less Developed,,,,,
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,,,,,
BWA,Botswana,SSA,ESA,Less Developed,,,,,
BRA,Brazil,LAC,LAC,Less Developed,93,93,93,UIS,2018
VGB,British Virgin Islands,LAC,LAC,Not Classified,,,,,
BRN,Brunei Darussalam,EAP,EAP,Less Developed,97,96,98,UIS,2018
BGR,Bulgaria,ECA,EECA,More Developed,,,,,
BFA,Burkina Faso,SSA,WCA,Least Developed,41,33,50,UIS,2018
BDI,Burundi,SSA,ESA,Least Developed,,,,,
